ID,PROVINSI_ID,KOTA
1101,11,SIMEULUE
1102,11,ACEH SINGKIL
1103,11,ACEH SELATAN
1104,11,ACEH TENGGARA
1105,11,ACEH TIMUR
1106,11,ACEH TENGAH
1107,11,ACEH BARAT
1108,11,ACEH BESAR
1109,11,PIDIE
1110,11,BIREUEN
1111,11,ACEH UTARA
1112,11,ACEH BARAT DAYA
1113,11,GAYO LUES
1114,11,ACEH TAMIANG
1115,11,NAGAN RAYA
1116,11,ACEH JAYA
1117,11,BENER MERIAH
1118,11,PIDIE JAYA
1171,11,BANDA ACEH
1172,11,SABANG
1173,11,LANGSA
1174,11,LHOKSEUMAWE
1175,11,SUBULUSSALAM
1201,12,NIAS
1202,12,MANDAILING NATAL
1203,12,TAPANULI SELATAN
1204,12,TAPANULI TENGAH
1205,12,TAPANULI UTARA
1206,12,TOBA SAMOSIR
1207,12,LABUHAN BATU
1208,12,ASAHAN
1209,12,SIMALUNGUN
1210,12,DAIRI
1211,12,KARO
1212,12,DELI SERDANG
1213,12,LANGKAT
1214,12,NIAS SELATAN
1215,12,HUMBANG HASUNDUTAN
1216,12,PAKPAK BHARAT
1217,12,SAMOSIR
1218,12,SERDANG BEDAGAI
1219,12,BATU BARA
1220,12,PADANG LAWAS UTARA
1221,12,PADANG LAWAS
1222,12,LABUHAN BATU SELATAN
1223,12,LABUHAN BATU UTARA
1224,12,NIAS UTARA
1225,12,NIAS BARAT
1271,12,SIBOLGA
1272,12,TANJUNG BALAI
1273,12,PEMATANG SIANTAR
1274,12,TEBING TINGGI
1275,12,MEDAN
1276,12,BINJAI
1277,12,PADANGSIDIMPUAN
1278,12,GUNUNGSITOLI
1301,13,KEPULAUAN MENTAWAI
1302,13,PESISIR SELATAN
3204,32,BANDUNG
1304,13,SIJUNJUNG
1305,13,TANAH DATAR
1306,13,PADANG PARIAMAN
1307,13,AGAM
1308,13,LIMA PULUH KOTA
1309,13,PASAMAN
1310,13,SOLOK SELATAN
1311,13,DHARMASRAYA
1312,13,PASAMAN BARAT
1371,13,PADANG
1373,13,SAWAH LUNTO
1374,13,PADANG PANJANG
1375,13,BUKITTINGGI
1376,13,PAYAKUMBUH
1377,13,PARIAMAN
1401,14,KUANTAN SINGINGI
1402,14,INDRAGIRI HULU
1403,14,INDRAGIRI HILIR
1404,14,PELALAWAN
1405,14,S I A K
1406,14,KAMPAR
1407,14,ROKAN HULU
1408,14,BENGKALIS
1409,14,ROKAN HILIR
1410,14,KEPULAUAN MERANTI
1471,14,PEKANBARU
1473,14,D U M A I
1501,15,KERINCI
1502,15,MERANGIN
1503,15,SAROLANGUN
1504,15,BATANG HARI
1505,15,MUARO JAMBI
1506,15,TANJUNG JABUNG TIMUR
1507,15,TANJUNG JABUNG BARAT
1508,15,TEBO
1509,15,BUNGO
1571,15,JAMBI
1572,15,SUNGAI PENUH
1601,16,OGAN KOMERING ULU
1602,16,OGAN KOMERING ILIR
1603,16,MUARA ENIM
1604,16,LAHAT
1605,16,MUSI RAWAS
1606,16,MUSI BANYUASIN
1607,16,BANYU ASIN
1608,16,OGAN KOMERING ULU SELATAN
1609,16,OGAN KOMERING ULU TIMUR
1610,16,OGAN ILIR
1611,16,EMPAT LAWANG
1612,16,PENUKAL ABAB LEMATANG ILIR
1613,16,MUSI RAWAS UTARA
1671,16,PALEMBANG
1672,16,PRABUMULIH
1673,16,PAGAR ALAM
1674,16,LUBUKLINGGAU
1701,17,BENGKULU SELATAN
1702,17,REJANG LEBONG
1703,17,BENGKULU UTARA
1704,17,KAUR
1705,17,SELUMA
1706,17,MUKOMUKO
1707,17,LEBONG
1708,17,KEPAHIANG
1709,17,BENGKULU TENGAH
1771,17,BENGKULU
1801,18,LAMPUNG BARAT
1802,18,TANGGAMUS
1803,18,LAMPUNG SELATAN
1804,18,LAMPUNG TIMUR
1805,18,LAMPUNG TENGAH
1806,18,LAMPUNG UTARA
1807,18,WAY KANAN
1808,18,TULANGBAWANG
1809,18,PESAWARAN
1810,18,PRINGSEWU
1811,18,MESUJI
1812,18,TULANG BAWANG BARAT
1813,18,PESISIR BARAT
1871,18,BANDAR LAMPUNG
1872,18,METRO
1901,19,BANGKA
1902,19,BELITUNG
1903,19,BANGKA BARAT
1904,19,BANGKA TENGAH
1905,19,BANGKA SELATAN
1906,19,BELITUNG TIMUR
1971,19,PANGKAL PINANG
2101,21,KARIMUN
2102,21,BINTAN
2103,21,NATUNA
2104,21,LINGGA
